snapped_at,price,market_cap,total_volume
2021-01-14 00:00:00 UTC,1.00361855,24337321170,88304528335
2021-01-15 00:00:00 UTC,0.997876356,24213693581,83470865704
2021-01-16 00:00:00 UTC,1.000521961,24266793529,96992240844
2021-01-17 00:00:00 UTC,1.002141058,24315907744,94463862959
2021-01-18 00:00:00 UTC,0.998182351,24325253500,89790741771
2021-01-19 00:00:00 UTC,1.000149869,24361784336,75752435428
2021-01-20 00:00:00 UTC,0.997458103,24298711593,95230363080
2021-01-21 00:00:00 UTC,0.997756308,24773996063,98400901337
2021-01-22 00:00:00 UTC,1.006988054,25008394353,98500138250
2021-01-23 00:00:00 UTC,1.000411815,24801327623,1.095E+11
2021-01-24 00:00:00 UTC,0.998581671,24747246254,74584935867
2021-01-25 00:00:00 UTC,0.999586146,24813122585,75389392522
2021-01-26 00:00:00 UTC,1.000845728,24943473423,81887567859
2021-01-27 00:00:00 UTC,1.003201254,25059561869,77742955151
2021-01-28 00:00:00 UTC,1.002074752,25255177034,77086984668
2021-01-29 00:00:00 UTC,0.998860547,25378936182,82157957941
2021-01-30 00:00:00 UTC,0.995040307,25228959196,1.40263E+11
2021-01-31 00:00:00 UTC,0.996505222,26260606338,87677250379
2021-02-01 00:00:00 UTC,1.000889277,26460152363,77589141305
2021-02-02 00:00:00 UTC,0.997456463,26539965349,87376525507
2021-02-03 00:00:00 UTC,1.000929244,26737565394,86161399687
2021-02-04 00:00:00 UTC,0.999919279,27040294469,80620809731
2021-02-05 00:00:00 UTC,1.001396109,27464486048,96063694555
2021-02-06 00:00:00 UTC,1.00204021,27816326086,88244095697
2021-02-07 00:00:00 UTC,0.999377442,28318232689,88304160293
2021-02-08 00:00:00 UTC,0.998733479,28564384007,1.00587E+11
2021-02-09 00:00:00 UTC,1.002968119,28863249466,1.19094E+11
2021-02-10 00:00:00 UTC,0.995561309,29758402439,1.20396E+11
2021-02-11 00:00:00 UTC,0.998018843,30256118930,1.27287E+11
2021-02-12 00:00:00 UTC,0.997606548,30750705243,1.05043E+11
2021-02-13 00:00:00 UTC,0.997166064,31064574294,1.07179E+11
2021-02-14 00:00:00 UTC,0.998774389,31539493807,1.0824E+11
2021-02-15 00:00:00 UTC,0.996301225,31950061617,98377990878
2021-02-16 00:00:00 UTC,1.00017935,32119872730,1.157E+11
2021-02-17 00:00:00 UTC,1.001078719,32322580881,1.01811E+11
2021-02-18 00:00:00 UTC,1.00067379,32391466874,1.03048E+11
2021-02-19 00:00:00 UTC,1.000289238,33157947105,97785999949
2021-02-20 00:00:00 UTC,1.00634942,33750136268,1.1856E+11
2021-02-21 00:00:00 UTC,1.005056461,34371952648,1.36196E+11
2021-02-22 00:00:00 UTC,1.003590818,34386570526,1.14501E+11
2021-02-23 00:00:00 UTC,1.005265471,34756738534,1.70202E+11
2021-02-24 00:00:00 UTC,1.003709073,34896050920,1.94422E+11
2021-02-25 00:00:00 UTC,1.010288565,35055733490,1.30288E+11
2021-02-26 00:00:00 UTC,1.003721658,34953515263,1.02932E+11
2021-02-27 00:00:00 UTC,1.00804506,35297886362,1.30683E+11
2021-02-28 00:00:00 UTC,0.993995964,35019017696,93002675832
2021-03-01 00:00:00 UTC,1.011355525,35168931969,1.14593E+11
2021-03-02 00:00:00 UTC,1.008234193,35205221027,1.05653E+11
2021-03-03 00:00:00 UTC,1.00843341,35648335235,95192365146
2021-03-04 00:00:00 UTC,0.999225705,35849578088,97874443746
2021-03-05 00:00:00 UTC,1.003303083,36436768967,1.06264E+11
2021-03-06 00:00:00 UTC,0.9984892,36442357699,94999863455
2021-03-07 00:00:00 UTC,1.001848994,36505130744,76330557959
2021-03-08 00:00:00 UTC,1.00313682,36537451758,77905261747
2021-03-09 00:00:00 UTC,1.000358151,36485945568,93938027402
2021-03-10 00:00:00 UTC,1.002505288,36891976399,1.00528E+11
2021-03-11 00:00:00 UTC,0.997083159,37294121249,1.02564E+11
2021-03-12 00:00:00 UTC,1.002233495,37582370331,1.03545E+11
2021-03-13 00:00:00 UTC,1.002028329,38189879217,1.04152E+11
2021-03-14 00:00:00 UTC,1.001952694,38311238719,1.10975E+11
2021-03-15 00:00:00 UTC,1.003703473,38391230641,89031352801
2021-03-16 00:00:00 UTC,1.003035636,38533359863,1.15152E+11
2021-03-17 00:00:00 UTC,1.001648242,38715432782,1.03868E+11
2021-03-18 00:00:00 UTC,1.004046896,38960558816,97566273638
2021-03-19 00:00:00 UTC,1.003875784,39026603881,89067622560
2021-03-20 00:00:00 UTC,1.004386143,39402122651,81485059573
2021-03-21 00:00:00 UTC,1.004355472,39691193064,82315556819
2021-03-22 00:00:00 UTC,1.003391859,39733383315,81063542768
2021-03-23 00:00:00 UTC,1.003584866,39779162452,89918317302
2021-03-24 00:00:00 UTC,0.998356406,39679592731,92875884664
2021-03-25 00:00:00 UTC,0.998859618,39874985486,97948362052
2021-03-26 00:00:00 UTC,0.998882299,40325387954,1.05239E+11
2021-03-27 00:00:00 UTC,0.99955902,40289735332,86727658289
2021-03-28 00:00:00 UTC,1.00000477,40515567103,80424190877
2021-03-29 00:00:00 UTC,1.003428314,40696987500,75106778250
2021-03-30 00:00:00 UTC,0.99922361,40527975008,88932229089
2021-03-31 00:00:00 UTC,0.999905505,40730247054,92130603672
2021-04-01 00:00:00 UTC,1.000287827,40816914164,1.07713E+11
2021-04-02 00:00:00 UTC,1.000735662,40835188152,1.14529E+11
2021-04-03 00:00:00 UTC,1.000561052,41789686878,1.08843E+11
2021-04-04 00:00:00 UTC,1.000637287,42448788686,1.13508E+11
2021-04-05 00:00:00 UTC,1.000522938,42493963928,1.06097E+11
2021-04-06 00:00:00 UTC,0.999328202,42544365000,1.33728E+11
2021-04-07 00:00:00 UTC,1.000303106,43125054017,1.4442E+11
2021-04-08 00:00:00 UTC,0.999459887,43178291901,1.51691E+11
2021-04-09 00:00:00 UTC,1.001775957,43829500563,1.03502E+11
2021-04-10 00:00:00 UTC,0.999502703,43883964993,94413452141
2021-04-11 00:00:00 UTC,0.999258102,44559427154,1.18138E+11
2021-04-12 00:00:00 UTC,1.000934681,44446295786,1.12616E+11
2021-04-13 00:00:00 UTC,1.000793271,44597273099,1.23526E+11
2021-04-14 00:00:00 UTC,1.001228555,45518007080,1.5242E+11
2021-04-15 00:00:00 UTC,0.999671888,45928633895,1.78588E+11
2021-04-16 00:00:00 UTC,0.999981197,46601536891,1.4441E+11
2021-04-17 00:00:00 UTC,0.998926549,46966476338,2.32561E+11
2021-04-18 00:00:00 UTC,1.001348993,47980429555,1.81717E+11
2021-04-19 00:00:00 UTC,1.00058387,48440253076,2.31571E+11
2021-04-20 00:00:00 UTC,0.999836913,48246126852,1.74849E+11
2021-04-21 00:00:00 UTC,1.000389262,48820994301,1.75714E+11
2021-04-22 00:00:00 UTC,0.997144848,49176280914,1.28777E+11
2021-04-23 00:00:00 UTC,1.001102805,49655032886,1.65686E+11
2021-04-24 00:00:00 UTC,1.001769538,49477553575,1.96114E+11
2021-04-25 00:00:00 UTC,0.998545616,49501156853,1.08407E+11
2021-04-26 00:00:00 UTC,1.003861841,50300761608,98075318189
2021-04-27 00:00:00 UTC,1.000592288,50177957599,1.24925E+11
2021-04-28 00:00:00 UTC,0.996849716,50288933665,1.0683E+11
2021-04-29 00:00:00 UTC,1.001600446,51109245003,1.19721E+11
2021-04-30 00:00:00 UTC,1.000697875,51252930927,1.07508E+11
2021-05-01 00:00:00 UTC,1.001373022,51180431596,1.10626E+11
2021-05-02 00:00:00 UTC,1.000547246,51679435030,1.06207E+11
2021-05-03 00:00:00 UTC,1.000592914,51994800962,1.02053E+11
2021-05-04 00:00:00 UTC,1.001319839,52331138431,1.29965E+11
2021-05-05 00:00:00 UTC,1.003531705,52279586920,1.98862E+11
2021-05-06 00:00:00 UTC,0.998492436,53023829034,2.03682E+11
2021-05-07 00:00:00 UTC,1.000299308,53739048757,2.13476E+11
2021-05-08 00:00:00 UTC,1.001825304,54969338626,1.96217E+11
2021-05-09 00:00:00 UTC,0.998844008,55472173386,1.7631E+11
2021-05-10 00:00:00 UTC,1.001046267,55793170949,2.02214E+11
2021-05-11 00:00:00 UTC,1.007187193,56104046205,2.05115E+11
2021-05-12 00:00:00 UTC,1.000726308,56741107699,1.92573E+11
2021-05-13 00:00:00 UTC,1.003191955,57651461404,1.92263E+11
2021-05-14 00:00:00 UTC,0.992982559,57935084385,2.58103E+11
2021-05-15 00:00:00 UTC,0.998631394,58027326445,1.75625E+11
2021-05-16 00:00:00 UTC,0.995133803,58377161527,1.82414E+11
2021-05-17 00:00:00 UTC,0.997646558,58715150844,1.77764E+11
2021-05-18 00:00:00 UTC,1.005934752,58391640940,1.92659E+11
2021-05-19 00:00:00 UTC,0.997026626,58284037564,1.6321E+11
2021-05-20 00:00:00 UTC,0.994190552,58182230212,2.95373E+11
2021-05-21 00:00:00 UTC,1.004576906,58467894311,2.26147E+11
2021-05-22 00:00:00 UTC,0.99889748,58629178479,1.8605E+11
2021-05-23 00:00:00 UTC,1.002869641,59767412544,1.40621E+11
2021-05-24 00:00:00 UTC,1.001364842,59697759251,1.72755E+11
2021-05-25 00:00:00 UTC,1.003080831,59790210429,1.67908E+11
2021-05-26 00:00:00 UTC,1.001159962,60307482211,1.38659E+11
