Date,Price
9-Aug-19,1.826
8-Aug-19,1.538
7-Aug-19,1.433
6-Aug-19,1.509
5-Aug-19,1.564
2-Aug-19,1.541
1-Aug-19,1.564
31-Jul-19,1.547
30-Jul-19,1.583
29-Jul-19,1.581
27-Jul-19,1.569
26-Jul-19,1.575
25-Jul-19,1.524
24-Jul-19,1.497
23-Jul-19,1.603
22-Jul-19,1.667
20-Jul-19,1.608
19-Jul-19,1.604
18-Jul-19,1.558
17-Jul-19,1.604
16-Jul-19,1.612
15-Jul-19,1.64
13-Jul-19,1.732
12-Jul-19,1.733
11-Jul-19,1.715
10-Jul-19,1.741
9-Jul-19,1.741
8-Jul-19,1.78
7-Jul-19,1.744
5-Jul-19,1.746
4-Jul-19,1.669
3-Jul-19,1.612
2-Jul-19,1.857
1-Jul-19,2.001
29-Jun-19,2.09
28-Jun-19,2.09
27-Jun-19,2.133
26-Jun-19,2.143
25-Jun-19,2.157
24-Jun-19,2.16
21-Jun-19,2.163
20-Jun-19,2.151
19-Jun-19,2.121
18-Jun-19,2.105
17-Jun-19,2.289
16-Jun-19,2.319
14-Jun-19,2.34
13-Jun-19,2.37
12-Jun-19,2.369
11-Jun-19,2.382
10-Jun-19,2.368
7-Jun-19,2.361
6-Jun-19,2.491
5-Jun-19,2.487
4-Jun-19,2.525
3-Jun-19,2.574
2-Jun-19,2.658
31-May-19,2.663
30-May-19,2.649
29-May-19,2.645
28-May-19,2.688
27-May-19,2.658
25-May-19,2.557
24-May-19,2.55
23-May-19,2.639
22-May-19,2.634
21-May-19,2.643
20-May-19,2.705
19-May-19,2.673
17-May-19,2.673
16-May-19,2.685
15-May-19,2.747
14-May-19,2.739
13-May-19,2.719
10-May-19,2.685
9-May-19,2.677
8-May-19,2.604
7-May-19,2.632
6-May-19,2.598
5-May-19,2.553
3-May-19,2.555
2-May-19,2.554
30-Apr-19,2.565
29-Apr-19,2.588
27-Apr-19,2.583
26-Apr-19,2.581
25-Apr-19,2.692
24-Apr-19,2.68
23-Apr-19,2.68
21-Apr-19,2.597
18-Apr-19,2.612
17-Apr-19,2.616
16-Apr-19,2.596
15-Apr-19,2.585
13-Apr-19,2.545
12-Apr-19,2.544
11-Apr-19,2.513
10-Apr-19,2.556
9-Apr-19,2.577
8-Apr-19,2.638
7-Apr-19,2.478
5-Apr-19,2.47
4-Apr-19,2.509
3-Apr-19,2.545
2-Apr-19,2.53
1-Apr-19,2.516
30-Mar-19,2.481
29-Mar-19,2.483
28-Mar-19,2.477
27-Mar-19,2.438
26-Mar-19,2.47
25-Mar-19,2.516
23-Mar-19,2.463
22-Mar-19,2.449
21-Mar-19,2.443
20-Mar-19,2.511
19-Mar-19,2.487
18-Mar-19,2.462
17-Mar-19,2.504
16-Mar-19,2.516
15-Mar-19,2.498
14-Mar-19,2.499
13-Mar-19,2.56
12-Mar-19,2.539
11-Mar-19,2.563
9-Mar-19,2.524
8-Mar-19,2.506
7-Mar-19,2.487
6-Mar-19,2.614
5-Mar-19,2.707
4-Mar-19,2.736
3-Mar-19,2.733
2-Mar-19,2.779
1-Mar-19,2.733
28-Feb-19,2.76
27-Feb-19,2.784
26-Feb-19,2.711
25-Feb-19,2.765
23-Feb-19,2.875
22-Feb-19,2.853
21-Feb-19,2.829
20-Feb-19,2.86
19-Feb-19,2.787
18-Feb-19,2.768
17-Feb-19,2.802
16-Feb-19,2.819
15-Feb-19,2.8
14-Feb-19,2.806
13-Feb-19,2.785
12-Feb-19,2.844
11-Feb-19,2.89
9-Feb-19,2.97
8-Feb-19,2.977
7-Feb-19,2.948
6-Feb-19,2.837
5-Feb-19,2.795
4-Feb-19,2.753
2-Feb-19,2.732
1-Feb-19,2.734
31-Jan-19,2.592
30-Jan-19,2.6
29-Jan-19,2.634
28-Jan-19,2.668
27-Jan-19,2.648
26-Jan-19,2.697
25-Jan-19,2.649
24-Jan-19,2.671
23-Jan-19,2.755
22-Jan-19,2.751
21-Jan-19,2.758
19-Jan-19,2.735
18-Jan-19,2.734
17-Jan-19,2.76
16-Jan-19,2.759
15-Jan-19,2.869
14-Jan-19,2.849
12-Jan-19,2.91
11-Jan-19,2.865
10-Jan-19,2.894
9-Jan-19,2.899
8-Jan-19,2.965
7-Jan-19,2.904
6-Jan-19,2.891
5-Jan-19,2.909
4-Jan-19,2.892
3-Jan-19,2.888
2-Jan-19,2.691
1-Jan-19,2.749
