Date,Price,Open,High,Low,Vol.,Change %
2021-12-22,72.41,72.41,72.41,72.41,,2.26%
2021-12-21,70.81,70.81,70.81,70.81,,5.25%
2021-12-20,67.28,67.28,67.28,67.28,,-6.05%
2021-12-17,71.61,71.61,71.61,71.61,,-2.40%
2021-12-16,73.37,73.37,73.37,73.37,,3.00%
2021-12-15,71.23,71.23,71.23,71.23,,-1.00%
2021-12-14,71.95,71.95,71.95,71.95,,-1.40%
2021-12-13,72.97,72.97,72.97,72.97,,0.08%
2021-12-10,72.91,72.91,72.91,72.91,,-0.87%
2021-12-09,73.55,73.55,73.55,73.55,,-1.17%
2021-12-08,74.42,74.42,74.42,74.42,,-0.12%
2021-12-07,74.51,74.51,74.51,74.51,,5.46%
2021-12-06,70.65,70.65,70.65,70.65,,0.24%
2021-12-03,70.48,70.48,70.48,70.48,,2.19%
2021-12-02,68.97,68.97,68.97,68.97,,-2.24%
2021-12-01,70.55,70.55,70.55,70.55,,1.75%
2021-11-30,69.34,69.34,69.34,69.34,,-5.47%
2021-11-29,73.35,73.35,73.35,73.35,,2.44%
2021-11-26,71.6,71.6,71.6,71.6,,-11.00%
2021-11-25,80.45,80.45,80.45,80.45,,-1.13%
2021-11-24,81.37,81.37,81.37,81.37,,-0.17%
2021-11-23,81.51,81.51,81.51,81.51,,2.21%
2021-11-22,79.75,79.75,79.75,79.75,,2.01%
2021-11-19,78.18,78.18,78.18,78.18,,-2.80%
2021-11-18,80.43,80.43,80.43,80.43,,0.20%
2021-11-17,80.27,80.27,80.27,80.27,,-1.10%
2021-11-16,81.16,81.16,81.16,81.16,,2.00%
2021-11-15,79.57,79.57,79.57,79.57,,-2.04%
2021-11-12,81.23,81.23,81.23,81.23,,-0.18%
2021-11-11,81.38,81.38,81.38,81.38,,-1.58%
2021-11-10,82.69,82.69,82.69,82.69,,0.23%
2021-11-09,82.5,82.5,82.5,82.5,,0.57%
2021-11-08,82.03,82.03,82.03,82.03,,1.15%
2021-11-05,81.1,81.1,81.1,81.1,,1.07%
2021-11-04,80.24,80.24,80.24,80.24,,-0.35%
2021-11-03,80.52,80.52,80.52,80.52,,-3.05%
2021-11-02,83.05,83.05,83.05,83.05,,-0.06%
2021-11-01,83.1,83.1,83.1,83.1,,1.22%
2021-10-29,82.1,82.1,82.1,82.1,,0.72%
2021-10-28,81.51,81.51,81.51,81.51,,-1.91%
2021-10-27,83.1,83.1,83.1,83.1,,-0.81%
2021-10-26,83.78,83.78,83.78,83.78,,0.40%
2021-10-25,83.45,83.45,83.45,83.45,,0.63%
2021-10-22,82.93,82.93,82.93,82.93,,1.64%
2021-10-21,81.59,81.59,81.59,81.59,,-1.95%
2021-10-20,83.21,83.21,83.21,83.21,,0.50%
2021-10-19,82.8,82.8,82.8,82.8,,0.68%
2021-10-18,82.24,82.24,82.24,82.24,,-0.51%
2021-10-15,82.66,82.66,82.66,82.66,,1.67%
2021-10-14,81.3,81.3,81.3,81.3,,-0.07%
2021-10-13,81.36,81.36,81.36,81.36,,-0.23%
2021-10-12,81.54,81.54,81.54,81.54,,-0.80%
2021-10-11,82.2,82.2,82.2,82.2,,1.63%
2021-10-08,80.88,80.88,80.88,80.88,,0.75%
2021-10-07,80.28,80.28,80.28,80.28,,1.06%
2021-10-06,79.44,79.44,79.44,79.44,,-2.16%
2021-10-05,81.19,81.19,81.19,81.19,,1.87%
2021-10-04,79.7,79.7,79.7,79.7,,3.95%
2021-10-01,76.67,76.67,76.67,76.67,,1.07%
2021-09-30,75.86,75.86,75.86,75.86,,-0.32%
2021-09-29,76.1,76.1,76.1,76.1,,-0.50%
2021-09-28,76.48,76.48,76.48,76.48,,-0.69%
2021-09-27,77.01,77.01,77.01,77.01,,2.46%
2021-09-24,75.16,75.16,75.16,75.16,,1.10%
2021-09-23,74.34,74.34,74.34,74.34,,1.96%
2021-09-22,72.91,72.91,72.91,72.91,,2.30%
2021-09-21,71.27,71.27,71.27,71.27,,-0.82%
2021-09-20,71.86,71.86,71.86,71.86,,-0.48%
2021-09-17,72.21,72.21,72.21,72.21,,-0.23%
2021-09-16,72.38,72.38,72.38,72.38,,-2.31%
2021-09-15,74.09,74.09,74.09,74.09,,2.83%
2021-09-14,72.05,72.05,72.05,72.05,,0.28%
2021-09-13,71.85,71.85,71.85,71.85,,0.98%
2021-09-10,71.15,71.15,71.15,71.15,,-0.32%
2021-09-09,71.38,71.38,71.38,71.38,,0.20%
2021-09-08,71.24,71.24,71.24,71.24,,2.75%
2021-09-07,69.33,69.33,69.33,69.33,,-1.00%
2021-09-06,70.03,70.03,70.03,70.03,,-1.28%
2021-09-03,70.94,70.94,70.94,70.94,,-0.69%
2021-09-02,71.43,71.43,71.43,71.43,,4.00%
2021-09-01,68.68,68.68,68.68,68.68,,-3.10%
2021-08-31,70.88,70.88,70.88,70.88,,2.40%
2021-08-30,69.22,69.22,69.22,69.22,,0.00%
2021-08-27,69.22,69.22,69.22,69.22,,1.60%
2021-08-26,68.13,68.13,68.13,68.13,,-0.93%
2021-08-25,68.77,68.77,68.77,68.77,,1.15%
2021-08-24,67.99,67.99,67.99,67.99,,2.86%
2021-08-23,66.1,66.1,66.1,66.1,,4.21%
2021-08-20,63.43,63.43,63.43,63.43,,0.24%
2021-08-19,63.28,63.28,63.28,63.28,,-5.20%
2021-08-18,66.75,66.75,66.75,66.75,,-0.80%
2021-08-17,67.29,67.29,67.29,67.29,,0.28%
2021-08-16,67.1,67.1,67.1,67.1,,-2.54%
2021-08-13,68.85,68.85,68.85,68.85,,-0.38%
2021-08-12,69.11,69.11,69.11,69.11,,1.57%
2021-08-11,68.04,68.04,68.04,68.04,,-1.13%
2021-08-10,68.82,68.82,68.82,68.82,,3.04%
