"","date","Category","Index_NSA","Relative_Importance","Index_SA","Monthly_Contribution_NSA","Monthly_Contribution_SA","Yearly_Contribution"
"119",2021-01-01,"Energy",205.273,6.34941635481969,209.328,0.221107481148088,0.171648524891413,-0.244577949052539
"120",2021-02-01,"Energy",213.277,6.56107481329284,218.944,0.247576293540685,0.291676162137631,0.153985622887171
"121",2021-03-01,"Energy",225.861,6.89932860969234,231.127,0.387123625381438,0.36508684618143,0.82405108441935
"122",2021-04-01,"Energy",229.116,6.94170516805114,228.374,0.099429802509281,-0.0821792852521908,1.45277578329682
"123",2021-05-01,"Energy",235.339,7.07353892063847,229.874,0.188543057930403,0.0455943222611888,1.64928728366163
"124",2021-06-01,"Energy",240.72,7.16867287636694,234.625,0.161735678880064,0.146194799811869,1.48583095223029
"125",2021-07-01,"Energy",244.8,7.2552741395369,238.447,0.121502930107914,0.116776420813957,1.47192016512024
"126",2021-08-01,"Energy",246.639,7.29470738936679,242.958,0.0545034687198056,0.137257091275844,1.53397307325612
"127",2021-09-01,"Energy",248.228,7.32181853126959,245.847,0.0469969876690373,0.0867409578934666,1.53473063423014
"128",2021-10-01,"Energy",255.338,7.469480211504,255.01,0.209719007353429,0.272892584420485,1.82960217682462
"129",2021-11-01,"Energy",259.1,7.54247175408606,261.257,0.110050930749353,0.182980443438555,2.01205089678235
"130",2021-12-01,"Energy",256.207,7.43541030830121,263.553,-0.084216020009924,0.0662853632529705,1.80327781618556
"131",2022-01-01,"Energy",260.653,7.348,265.929,0.129027833863663,0.0670321904608313,1.71299039683697
"132",2022-02-01,"Energy",267.771,7.54664209061873,275.17,0.200661661289147,0.25534209507049,1.6764077273948
"133",2022-03-01,"Energy",298.246,8.29477820142594,305.469,0.858882842845587,0.830961619012452,2.21112941770638
"134",2022-04-01,"Energy",298.469,8.25489702907538,297.233,0.00620204642784117,-0.223642311550252,2.10124163532818
"135",2022-05-01,"Energy",316.761,8.66528546447873,308.839,0.505910417684406,0.322327382623897,2.44728534580425
"136",2022-06-01,"Energy",340.917,9.19972668803583,332.087,0.660809366304399,0.652283411350902,2.98387967843693
"137",2022-07-01,"Energy",325.407,8.78222298140068,316.955,-0.418541055246397,-0.419198174705299,2.38899461832374
"138",2022-08-01,"Energy",305.372,8.24443167220838,301.045,-0.540713129810859,-0.440835978716487,1.73711395642895
"139",2022-09-01,"Energy",297.343,8.01043605005142,294.705,-0.216766900358124,-0.173627520144169,1.44871294601458
"140",2022-10-01,"Energy",300.359,8.05899597626739,300.013,0.0812511985382365,0.144277818678587,1.31701301256422
"141",2022-11-01,"Energy",292.953,7.86823114241124,295.275,-0.198711955360872,-0.127272894626415,0.985470074454168
"142",2019-01-01,"Goods_LFE",143.892,19.6095633701781,144.393,0.143639621000599,0.0613797416188682,0.0657402888081577
"143",2019-02-01,"Goods_LFE",144.609,19.6243228832195,144.232,0.0977125687072089,-0.0218649082891744,0.0271404954726577
"144",2019-03-01,"Goods_LFE",144.994,19.5661898417295,144.208,0.0522468470844792,-0.003265459462515,-0.00769765932598432
"145",2019-04-01,"Goods_LFE",144.851,19.4439370538064,144.204,-0.0192971098622507,-0.000542721342551289,-0.0383359078859087
"146",2019-05-01,"Goods_LFE",144.457,19.3498576605659,144.212,-0.0528882175421614,0.00107869058021848,-0.0392679075743558
"147",2019-06-01,"Goods_LFE",144.461,19.3465406471638,144.428,0.000535795639137859,0.0289821183721379,0.0304931036741571
"148",2019-07-01,"Goods_LFE",144.448,19.312529548592,144.665,-0.0017409891141078,0.0317468228693727,0.0799028767088075
"149",2019-08-01,"Goods_LFE",144.806,19.3613747387995,144.827,0.0478641835013036,0.0216267223369293,0.164206514299252
"150",2019-09-01,"Goods_LFE",144.596,19.3181617740918,144.646,-0.0280781783568926,-0.0241972065134455,0.129772333969928
"151",2019-10-01,"Goods_LFE",144.577,19.2715648866279,144.431,-0.00253841789335496,-0.0287142733392507,0.0600918883384622
"152",2019-11-01,"Goods_LFE",143.722,19.1678752741732,144.16,-0.113968252059919,-0.0361597862250953,0.024498623051926
"153",2019-12-01,"Goods_LFE",142.92,19.0782711934583,143.957,-0.106960910437422,-0.0269913892942384,0.0109231650951003
"154",2020-01-01,"Goods_LFE",143.532,20.137,143.939,0.0816953678309353,-0.00238549623486506,-0.0490607039534083
"155",2020-02-01,"Goods_LFE",144.605,20.2401982734132,144.218,0.150537866120445,0.0390319718769767,-0.000542824385295404
"156",2020-03-01,"Goods_LFE",144.718,20.3001971406002,143.957,0.0158164821748592,-0.036629905763224,-0.0372447714823885
"157",2020-04-01,"Goods_LFE",143.613,20.2808107869754,143.04,-0.155002956372829,-0.129311397000009,-0.166181759688317
"158",2020-05-01,"Goods_LFE",142.964,20.1887662743666,142.782,-0.0916507990275761,-0.0365803214697955,-0.199985722306462
"159",2020-06-01,"Goods_LFE",142.908,20.0710285829372,142.877,-0.00790808113486463,0.0134325951174858,-0.207981238016114
"160",2020-07-01,"Goods_LFE",143.696,20.0801307861665,143.849,0.110672394291115,0.136544298820766,-0.100541525120054
"161",2020-08-01,"Goods_LFE",145.391,20.253128319189,145.358,0.236859910384087,0.210643920752492,0.0782177825656198
"162",2020-09-01,"Goods_LFE",146.096,20.3230307658419,146.23,0.0982072856299823,0.121498148669716,0.20040141263339
"163",2020-10-01,"Goods_LFE",146.261,20.3375446671724,146.236,0.0229527165450385,0.000833879399543491,0.224470802887605
"164",2020-11-01,"Goods_LFE",145.75,20.2788731145873,146.205,-0.0710543844560405,-0.00431127687219046,0.270469733624797
"165",2020-12-01,"Goods_LFE",145.317,20.1996103192859,146.259,-0.0602452971431653,0.00748988850030585,0.319973524004478
"166",2021-01-01,"Goods_LFE",145.973,20.2048497338764,146.342,0.0911864707463792,0.0114630050561075,0.342463123205974
"167",2021-02-01,"Goods_LFE",146.532,20.1717955765272,146.155,0.0773739732775027,-0.0258183358177071,0.269720010185452
"168",2021-03-01,"Goods_LFE",147.16,20.1157614827587,146.396,0.0864513391072173,0.0332619666377667,0.342549519875522
"169",2021-04-01,"Goods_LFE",149.915,20.325299276462,149.336,0.376589581985591,0.403975100134645,0.889958914440328
"170",2021-05-01,"Goods_LFE",152.217,20.473265405794,152.056,0.312102450951645,0.370204197460605,1.30666919180154
"171",2021-06-01,"Goods_LFE",155.284,20.6935219588739,155.188,0.412513089862298,0.421701657619209,1.73817455805435
"172",2021-07-01,"Goods_LFE",155.873,20.6725676524705,155.886,0.0784915666377515,0.0930747114937631,1.70161836504252
"173",2021-08-01,"Goods_LFE",156.581,20.7236525191084,156.437,0.0938980958725928,0.0730699663633132,1.55877946978647
