Selected Geographies,Total,"N/A (not a worker-not in the labor force, including persons under 16 years; unemployed; employed, with a job but not at work; Armed Forces, with a job but not at work)","Car, truck, or van",Bus,Subway or elevated rail,Long-distance train or commuter rail,"Light rail, streetcar, or trolley",Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Worked from home,Other method
Norwalk & Westport Towns PUMA; Connecticut,3313,0,421,0,337,2380,0,0,0,0,0,175,0,0
"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park PUMA; New Jersey",10963,0,2989,7102,335,0,0,362,0,68,107,0,0,0
Essex County (Northeast)--Bloomfield PUMA; New Jersey,4685,0,1020,1836,335,1427,67,0,0,0,0,0,0,0
"Morris County (South)--Morristown, Madison & Florham Park PUMA; New Jersey",3983,0,637,337,317,2537,0,0,0,0,0,60,0,95
Stamford & Greenwich Towns PUMA; Connecticut,10734,0,2695,107,313,6960,454,0,205,0,0,0,0,0
Suffolk County (Southwest)--Babylon Town (Southeast) PUMA; New York,2704,0,388,0,281,1522,0,0,0,0,0,414,0,99
Middlesex County (Northeast)--Carteret & North Woodbridge PUMA; New Jersey,2770,0,1165,554,278,773,0,0,0,0,0,0,0,0
Westchester County (Central) PUMA; New York,10175,0,2987,48,268,6375,79,0,215,0,0,0,0,203
Suffolk County (Northwest)--Huntington Town (South) PUMA; New York,3135,0,923,0,259,1871,82,0,0,0,0,0,0,0
"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford PUMA; New Jersey",7293,0,3532,2636,257,868,0,0,0,0,0,0,0,0
Essex County (Northwest)--Montclair PUMA; New Jersey,6243,0,1418,1455,254,2417,481,173,0,0,0,0,0,45
Nassau County (Central)--Hempstead Town (Northeast) PUMA; New York,6098,0,1379,153,254,4092,220,0,0,0,0,0,0,0
Mercer County (Southwest) PUMA; New Jersey,2190,0,427,0,250,1513,0,0,0,0,0,0,0,0
Westchester County (Northeast) PUMA; New York,8070,0,3275,70,242,4282,0,0,0,0,0,82,0,119
Ocean County (Northwest) PUMA; New Jersey,1236,0,211,789,236,0,0,0,0,0,0,0,0,0
Nassau County (Southeast)--Oyster Bay Town (South) PUMA; New York,4242,0,1003,0,235,2929,75,0,0,0,0,0,0,0
Suffolk County (Central)--Brookhaven Town (West Central) PUMA; New York,2145,0,724,0,234,1187,0,0,0,0,0,0,0,0
