"","date","CA","CA_yoy_raw","US","US_yoy_raw","CA_Share","US_X_CA_yoy_raw","CA_yoy_pct","US_yoy_pct","US_X_CA_yoy_pct"
"269",2012-05-01,380.1,29.2,2444.2,119.8,0.155511005646019,90.5999999999997,0.0775152641359173,0.318024953543933,0.0459082847732455
"270",2012-06-01,384.8,30.2,2464,121.4,0.156168831168831,91.2000000000001,0.0794527755853722,0.319389634306762,0.0458752515090542
"271",2012-07-01,389,29.3,2486.5,127.9,0.156444801930424,98.6000000000001,0.0761434511434512,0.332380457380458,0.0493271299214569
"272",2012-08-01,392.3,29.7,2497,128.9,0.157108530236284,99.2000000000001,0.0763496143958869,0.331362467866324,0.0494639740713038
"273",2012-09-01,391.4,28.8,2492.1,125.9,0.157056297901368,97.1000000000001,0.0734132041804742,0.320927861330615,0.0484627670193651
"274",2012-10-01,395.9,30.3,2515.8,129.4,0.157365450353764,99.1000000000001,0.077414409810935,0.330608073582013,0.0490399841646872
"275",2012-11-01,397.5,29.4,2529.8,128.4,0.157127045616254,99.0000000000001,0.0742611770649155,0.324324324324325,0.0486893227757832
"276",2012-12-01,399.4,29.7,2538.3,130.9,0.157349407083481,101.2,0.0747169811320754,0.329308176100629,0.0496638366786083
"277",2013-01-01,396.5,28.4,2527.8,138.5,0.156855763905372,110.1,0.0711066599899849,0.346770155232849,0.054472590540273
"278",2013-02-01,400.5,27.7,2541.8,131,0.157565504760406,103.3,0.0698612862547288,0.330390920554855,0.0506869479882237
"279",2013-03-01,402.2,28.1,2544.3,123.2,0.158078842903746,95.1000000000003,0.0701622971285892,0.307615480649189,0.0464582315583783
"280",2013-04-01,403.6,26.9,2560.7,126.5,0.157613152653571,99.6,0.0668821481849827,0.314520139234212,0.0484082624544349
"281",2013-05-01,406.9,26.8,2573,128.8,0.158142246404975,102,0.066402378592666,0.319127849355798,0.0494162104549198
"282",2013-06-01,411.2,26.4,2589.2,125.2,0.158813533137649,98.7999999999998,0.0648808060948635,0.307692307692307,0.0475182762601001
"283",2013-07-01,416.6,27.6,2612,125.5,0.159494640122511,97.9,0.0671206225680933,0.305204280155642,0.0466746126340882
"284",2013-08-01,419.7,27.4,2617.7,120.7,0.160331588799328,93.2999999999998,0.0657705232837253,0.289726356216994,0.0443293581032927
"285",2013-09-01,417.2,25.8,2600,107.9,0.160461538461538,82.1000000000001,0.0614724803431021,0.257088396473672,0.0390822106916744
