state,year,quarter,pi_nt,pi_t,pi
Arkansas,2013,4,2.3164325,1.6851988,2.0038149
Arkansas,2014,1,0.068896092,2.6700749,0.92254519
Arkansas,2014,2,2.7617242,3.0969203,2.9517839
Arkansas,2014,3,3.0952353,2.461333,3.0124037
Arkansas,2014,4,3.1223009,2.2733145,2.9275174
Arkansas,2015,1,3.4178281,-0.6336531,1.9352343
Arkansas,2015,2,1.9553589,-0.16725467,0.94007832
Arkansas,2015,3,0.92373776,-1.0236311,-0.24000593
Arkansas,2015,4,2.7673821,-2.4057319,0.44494355
Arkansas,2016,1,3.7549481,-1.9968455,1.2315682
Arkansas,2016,2,2.6491318,-1.5864224,0.79424644
Arkansas,2016,3,0.66912621,-0.87034297,-0.011608075
Arkansas,2016,4,0.79356146,-0.56703508,0.21246664
Arkansas,2017,1,2.8411722,0.003043557,1.7261145
Arkansas,2017,2,8.8794832,-1.1258819,4.8646688
Arkansas,2017,3,7.3799758,-0.2629298,4.1636109
Arkansas,2017,4,7.8318968,1.4961843,5.3223343
California,1978,1,7.7013984,5.6726017,6.7570376
California,1978,2,7.9285126,4.2315798,6.2706375
California,1978,3,8.7557068,5.9791832,7.5066209
California,1978,4,9.5286579,6.7094202,8.2743034
California,1979,1,11.658811,8.1103077,10.0706
California,1979,2,12.599259,7.7691979,10.428087
California,1979,3,14.858874,7.7275343,11.676684
California,1979,4,14.520058,8.6559753,11.899578
California,1980,1,15.082442,8.7388544,12.293703
California,1980,2,15.644764,8.3438053,12.493711
California,1980,3,14.574967,8.8986759,12.187726
California,1980,4,14.156327,8.2919912,11.64022
California,1981,1,13.017516,6.743731,10.270343
California,1981,2,11.102335,6.3318295,8.9931574
California,1981,3,9.9493856,5.962585,8.1542673
California,1981,4,10.63892,4.3770852,7.8781118
California,1982,1,11.205604,2.9824202,7.6459694
California,1982,2,11.443654,0.5415802,6.7294273
California,1982,3,10.3793,-1.3874023,5.2936912
California,1982,4,8.4214077,0.16491625,4.8621917
California,1983,1,6.1900992,-0.19290215,3.4493523
California,1983,2,4.8667736,1.4618655,3.3943961
California,1983,3,5.2009554,1.5882787,3.665885
California,1983,4,5.3854065,-0.1204931,3.0582175
California,1984,1,6.6364975,1.5391473,4.4991455
California,1984,2,7.129096,-0.1497831,4.0817795
California,1984,3,6.8220539,-0.10303169,3.9649122
California,1984,4,6.3270617,1.1973387,4.2510109
California,1985,1,5.8908067,-0.17117648,3.4453926
California,1985,2,5.684238,1.0456536,3.8732183
California,1985,3,5.1393943,1.31668,3.7235959
California,1985,4,4.4656534,-0.39999443,2.6183393
California,1986,1,3.4014089,-0.10809315,2.0871642
California,1986,2,3.8296597,0.19700451,2.5327239
California,1986,3,3.870976,-0.0189602,2.4723988
California,1986,4,4.0806975,-0.67739755,2.339699
California,1989,1,4.6175995,4.3840141,4.5846395
California,1989,2,4.3115883,4.8922467,4.5802674
California,1989,3,4.1715231,3.9744887,4.1743288
California,1989,4,3.8699911,3.745014,3.8827465
California,1990,1,4.1475105,3.7522771,4.0837536
California,1990,2,4.2140222,2.2927933,3.5836985
California,1990,3,4.1036501,3.4707134,3.9598477
California,1990,4,5.1690464,4.4047771,5.0199451
California,1991,1,5.3691621,3.1301768,4.727499
California,1991,2,4.9226422,2.6871891,4.2432156
California,1991,3,5.4683313,1.7072506,4.1943617
California,1991,4,4.4827104,0.85264653,3.239197
California,1992,1,3.579766,1.4007792,2.8443034
California,1992,2,3.7809386,1.8752972,3.1459365
California,1992,3,2.4934433,2.1140802,2.3859169
California,1992,4,2.508378,2.2135825,2.4191453
California,1993,1,3.1398084,1.847703,2.7106676
California,1993,2,3.0916831,1.3062441,2.4814572
California,1993,3,3.4353559,0.36239597,2.3883123
California,1993,4,3.7483666,0.4029713,2.6070294
California,1994,1,3.4125643,-0.22504453,2.1251669
California,1994,2,2.9258845,-0.48037851,1.7240815
California,1994,3,2.6105776,0.14126232,1.7412704
California,1994,4,2.3640382,0.18452199,1.5911406
California,1995,1,3.0365889,0.69328034,2.2129917
California,1995,2,3.3386824,1.1814332,2.599081
California,1995,3,2.5954614,1.0614773,2.0968962
California,1995,4,1.7635001,0.62987536,1.3979223
California,1996,1,0.96610296,0.69010311,0.9070074
California,1996,2,1.0756514,1.5400358,1.312816
California,1996,3,2.2814066,1.4224117,2.1348798
California,1996,4,3.1157246,1.4475834,2.6553042
California,1997,1,3.0592256,1.7987624,2.7276306
California,1997,2,2.9104791,0.7523818,2.2530224
California,1997,3,1.9602301,0.76983851,1.6223806
California,1997,4,1.9023833,0.89631307,1.6568909
California,1998,1,0.52254897,-0.1868553,0.38668305
California,1998,2,0.59455526,0.003686835,0.48575577
California,1998,3,0.29910457,0.064247504,0.30079538
