datemy,DUR_BIAP,PX5_MD
7/1/2012,6,2.7
8/1/2012,6,2.8
9/1/2012,7,2.8
10/1/2012,8,2.8
11/1/2012,8,2.8
12/1/2012,8,2.8
1/1/2013,7,2.9
2/1/2013,8,2.9
3/1/2013,9,2.9
4/1/2013,10,2.9
5/1/2013,10,2.9
6/1/2013,9,2.9
7/1/2013,10,2.9
8/1/2013,11,2.9
9/1/2013,11,2.9
10/1/2013,10,2.9
11/1/2013,10,2.9
12/1/2013,10,2.8
1/1/2014,10,2.8
2/1/2014,10,2.8
3/1/2014,10,2.9
4/1/2014,9,2.9
5/1/2014,10,2.9
6/1/2014,10,2.9
7/1/2014,11,2.8
8/1/2014,11,2.8
9/1/2014,11,2.8
10/1/2014,10,2.8
11/1/2014,9,2.7
12/1/2014,9,2.7
1/1/2015,9,2.7
2/1/2015,8,2.8
3/1/2015,9,2.8
4/1/2015,10,2.7
5/1/2015,10,2.7
6/1/2015,10,2.7
7/1/2015,9,2.7
8/1/2015,10,2.7
9/1/2015,9,2.7
10/1/2015,9,2.6
11/1/2015,9,2.6
12/1/2015,8,2.6
1/1/2016,7,2.6
2/1/2016,7,2.6
3/1/2016,9,2.6
4/1/2016,10,2.6
5/1/2016,10,2.6
6/1/2016,10,2.5
7/1/2016,9,2.6
8/1/2016,8,2.6
9/1/2016,8,2.6
10/1/2016,9,2.5
11/1/2016,9,2.5
12/1/2016,9,2.4
1/1/2017,10,2.5
2/1/2017,13,2.5
3/1/2017,15,2.5
4/1/2017,14,2.4
5/1/2017,13,2.4
6/1/2017,11,2.4
7/1/2017,10,2.5
8/1/2017,9,2.5
9/1/2017,10,2.5
10/1/2017,10,2.5
11/1/2017,11,2.5
12/1/2017,10,2.4
1/1/2018,9,2.4
2/1/2018,10,2.5
3/1/2018,14,2.5
4/1/2018,17,2.5
5/1/2018,18,2.5
6/1/2018,15,2.5
7/1/2018,15,2.5
8/1/2018,15,2.5
9/1/2018,17,2.5
10/1/2018,17,2.5
11/1/2018,16,2.5
12/1/2018,14,2.5
1/1/2019,12,2.6
2/1/2019,11,2.5
3/1/2019,10,2.5
4/1/2019,9,2.4
5/1/2019,10,2.5
6/1/2019,13,2.4
7/1/2019,14,2.5
8/1/2019,14,2.5
9/1/2019,12,2.5
10/1/2019,13,2.4
11/1/2019,12,2.4
12/1/2019,11,2.3
1/1/2020,9,2.4
2/1/2020,9,2.3
3/1/2020,9,2.4
4/1/2020,6,2.4
5/1/2020,3,2.5
6/1/2020,3,2.6
7/1/2020,4,2.6
8/1/2020,4,2.6
9/1/2020,4,2.7
10/1/2020,3,2.6
11/1/2020,4,2.5
12/1/2020,3,2.5
1/1/2021,4,2.6
2/1/2021,5,2.6
3/1/2021,8,2.7
4/1/2021,9,2.7
5/1/2021,10,2.8
6/1/2021,10,2.8
7/1/2021,10,2.9
8/1/2021,9,2.8
9/1/2021,8,2.9
10/1/2021,8,2.9
11/1/2021,9,3
12/1/2021,9,2.9
1/1/2022,10,3
2/1/2022,11,3
3/1/2022,12,3
4/1/2022,13,3
5/1/2022,12,3
6/1/2022,12,3
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
