Imports/Exports,Time,Commodity Code,Description of Good,Country(Area),Value(USD$ 1000)
Exports,2018/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1020
Exports,2018/8,8542, Electronic integrated circuits,China,2689094
Exports,2018/8,8542, Electronic integrated circuits,Hong Kong,2329796
Exports,2018/8,8542, Electronic integrated circuits,Macao,67
Exports,2018/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,103896
Exports,2018/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1449
Exports,2018/9,8542, Electronic integrated circuits,China,3127012
Exports,2018/9,8542, Electronic integrated circuits,Hong Kong,2242051
Exports,2018/9,8542, Electronic integrated circuits,Macao,94
Exports,2018/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,154603
Exports,2018/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,536
Exports,2018/10,8542, Electronic integrated circuits,China,3029298
Exports,2018/10,8542, Electronic integrated circuits,Hong Kong,2130984
Exports,2018/10,8542, Electronic integrated circuits,Macao,86
Exports,2018/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,84544
Exports,2018/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,969
Exports,2018/11,8542, Electronic integrated circuits,China,2892889
Exports,2018/11,8542, Electronic integrated circuits,Hong Kong,1976765
Exports,2018/11,8542, Electronic integrated circuits,Macao,147
Exports,2018/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,99126
Exports,2018/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2476
Exports,2018/12,8542, Electronic integrated circuits,China,2906800
Exports,2018/12,8542, Electronic integrated circuits,Hong Kong,1948479
Exports,2018/12,8542, Electronic integrated circuits,Macao,183
Exports,2019/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,150855
Exports,2019/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,722
Exports,2019/1,8542, Electronic integrated circuits,China,2199464
Exports,2019/1,8542, Electronic integrated circuits,Hong Kong,2058380
Exports,2019/1,8542, Electronic integrated circuits,Macao,167
Exports,2019/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,90500
Exports,2019/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,316
Exports,2019/2,8542, Electronic integrated circuits,China,1443312
Exports,2019/2,8542, Electronic integrated circuits,Hong Kong,1407233
Exports,2019/2,8542, Electronic integrated circuits,Macao,21
Exports,2019/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,169933
Exports,2019/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,870
Exports,2019/3,8542, Electronic integrated circuits,China,2478542
Exports,2019/3,8542, Electronic integrated circuits,Hong Kong,2359358
Exports,2019/3,8542, Electronic integrated circuits,Macao,249
Exports,2019/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,138426
Exports,2019/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,426
Exports,2019/4,8542, Electronic integrated circuits,China,2012016
Exports,2019/4,8542, Electronic integrated circuits,Hong Kong,2018640
Exports,2019/4,8542, Electronic integrated circuits,Macao,29
Exports,2019/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,96610
Exports,2019/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2813
Exports,2019/5,8542, Electronic integrated circuits,China,2368361
Exports,2019/5,8542, Electronic integrated circuits,Hong Kong,2349569
Exports,2019/5,8542, Electronic integrated circuits,Macao,101
Exports,2019/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,91467
Exports,2019/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,596
