Date,RIG_COUNT
2012-03-02,"1,293"
2012-03-09,"1,296"
2012-03-16,"1,317"
2012-03-23,"1,313"
2012-03-30,"1,318"
2012-04-05,"1,329"
2012-04-13,"1,322"
2012-04-20,"1,337"
2012-04-27,"1,328"
2012-05-04,"1,355"
2012-05-11,"1,372"
2012-05-18,"1,382"
2012-05-25,"1,383"
2012-06-01,"1,386"
2012-06-08,"1,414"
2012-06-15,"1,405"
2012-06-22,"1,421"
2012-06-29,"1,421"
2012-07-06,"1,419"
2012-07-13,"1,427"
2012-07-20,"1,414"
2012-07-27,"1,416"
2012-08-03,"1,429"
2012-08-10,"1,432"
2012-08-17,"1,425"
2012-08-24,"1,408"
2012-08-31,"1,419"
2012-09-07,"1,409"
2012-09-14,"1,413"
2012-09-21,"1,402"
2012-09-28,"1,410"
2012-10-05,"1,398"
2012-10-12,"1,411"
2012-10-19,"1,410"
2012-10-26,"1,408"
2012-11-02,"1,373"
2012-11-09,"1,389"
2012-11-16,"1,390"
2012-11-21,"1,388"
2012-11-30,"1,386"
2012-12-07,"1,382"
2012-12-14,"1,381"
2012-12-21,"1,340"
2012-12-28,"1,327"
2013-01-04,"1,318"
2013-01-11,"1,323"
2013-01-18,"1,316"
2013-01-25,"1,315"
2013-02-01,"1,332"
2013-02-08,"1,330"
2013-02-15,"1,337"
2013-02-22,"1,329"
2013-03-01,"1,333"
2013-03-08,"1,341"
2013-03-15,"1,341"
2013-03-22,"1,324"
2013-03-28,"1,354"
2013-04-05,"1,357"
2013-04-12,"1,387"
2013-04-19,"1,371"
2013-04-26,"1,381"
2013-05-03,"1,403"
2013-05-10,"1,412"
2013-05-17,"1,408"
2013-05-24,"1,402"
2013-05-31,"1,410"
2013-06-07,"1,406"
2013-06-14,"1,413"
2013-06-21,"1,405"
2013-06-28,"1,390"
2013-07-03,"1,395"
2013-07-12,"1,391"
2013-07-19,"1,395"
2013-07-26,"1,401"
2013-08-02,"1,388"
2013-08-09,"1,385"
2013-08-16,"1,397"
2013-08-23,"1,382"
2013-08-30,"1,388"
2013-09-06,"1,365"
2013-09-13,"1,361"
2013-09-20,"1,369"
2013-09-27,"1,362"
2013-10-04,"1,372"
2013-10-11,"1,367"
2013-10-18,"1,361"
2013-10-25,"1,357"
2013-11-01,"1,376"
2013-11-08,"1,383"
2013-11-15,"1,385"
2013-11-22,"1,387"
2013-11-27,"1,391"
2013-12-06,"1,397"
2013-12-13,"1,411"
2013-12-20,"1,395"
2013-12-27,"1,382"
2014-01-03,"1,378"
2014-01-10,"1,393"
2014-01-17,"1,408"
2014-01-24,"1,416"
2014-01-31,"1,422"
2014-02-07,"1,416"
2014-02-14,"1,423"
2014-02-21,"1,425"
2014-02-28,"1,430"
2014-03-07,"1,443"
2014-03-14,"1,461"
2014-03-21,"1,473"
2014-03-28,"1,487"
2014-04-04,"1,498"
2014-04-11,"1,517"
2014-04-17,"1,510"
2014-04-25,"1,534"
2014-05-02,"1,527"
2014-05-09,"1,528"
2014-05-16,"1,531"
2014-05-23,"1,528"
2014-05-30,"1,536"
2014-06-06,"1,536"
2014-06-13,"1,542"
2014-06-20,"1,545"
2014-06-27,"1,558"
2014-07-03,"1,562"
2014-07-11,"1,563"
2014-07-18,"1,554"
2014-07-25,"1,562"
2014-08-01,"1,573"
2014-08-08,"1,588"
2014-08-15,"1,589"
2014-08-22,"1,564"
2014-08-29,"1,575"
2014-09-05,"1,584"
2014-09-12,"1,592"
2014-09-19,"1,601"
2014-09-26,"1,592"
2014-10-03,"1,591"
2014-10-10,"1,609"
2014-10-17,"1,590"
2014-10-24,"1,595"
2014-10-31,"1,582"
2014-11-07,"1,568"
2014-11-14,"1,578"
2014-11-21,"1,574"
2014-11-26,"1,572"
2014-12-05,"1,575"
2014-12-12,"1,546"
2014-12-19,"1,536"
2014-12-26,"1,499"
2015-01-02,"1,482"
2015-01-09,"1,421"
2015-01-16,"1,366"
2015-01-23,"1,317"
2015-01-30,"1,223"
2015-02-06,"1,140"
2015-02-13,"1,056"
2015-02-20,"1,019"
2015-02-27,986
2015-03-06,922
2015-03-13,866
2015-03-20,825
2015-03-27,813
2015-04-02,802
2015-04-10,760
2015-04-17,734
2015-04-24,703
2015-05-01,679
2015-05-08,668
2015-05-15,660
2015-05-22,659
2015-05-29,646
2015-06-05,642
