TPEB_date,TPEB,FEWB_date,FEWB
2022-09-01,86.20538912,2022-03-30,116.6005232
2022-09-08,87.53824519,2022-04-01,117.91541
2022-09-12,86.33377873,2022-04-02,119.2701417
2022-09-17,85.43625887,2022-04-06,120.4190074
2022-09-23,84.56111663,2022-04-06,122.0792179
2022-09-27,83.35480766,2022-04-13,119.4494445
2022-10-02,82.55292599,2022-04-12,120.6447961
2022-10-09,82.01786385,2022-04-14,118.293938
,,2022-04-16,116.9192837
,,2022-04-18,115.5047843
,,2022-04-19,114.169975
,,2022-04-21,112.2474513
,,2022-04-21,110.5241528
,,2022-04-23,109.4881814
,,2022-04-23,108.6115902
,,2022-04-24,107.695154
,,2022-04-27,106.6591827
,,2022-05-06,105.2646058
,,2022-05-07,107.9541469
,,2022-05-11,109.209266
,,2022-05-14,106.6890665
,,2022-05-17,105.2646058
,,2022-05-22,103.9258121
,,2022-05-31,103.5014623
,,2022-06-02,102.7942126
,,2022-06-04,99.96521387
,,2022-06-06,101.6387061
,,2022-06-07,98.43117936
,,2022-06-10,97.13621515
,,2022-06-12,95.82132843
,,2022-06-18,93.98845602
,,2022-06-21,94.45331496
,,2022-06-27,92.74529038
,,2022-07-04,91.67744298
,,2022-07-11,92.84623118
,,2022-07-13,93.80915328
,,2022-07-13,94.90489222
,,2022-07-22,93.24468171
,,2022-07-21,91.76709435
,,2022-07-29,91.19930235
,,2022-08-03,89.5656552
,,2022-08-15,91.55790782
,,2022-08-19,92.6436855
,,2022-08-22,93.6696956
,,2022-08-26,94.44667412
,,2022-09-05,94.49050368
,,2022-09-17,93.80516878
,,2022-09-22,94.5861318
,,2022-09-28,93.55016044
,,2022-10-06,92.70013266
,,2022-10-10,92.19542866
